,station,stress,latitude,longitude,geometry,covid_19_deaths_per_thousand
249,south-ealing,6923,51.501644020742795,-0.3070402449513661,POINT (-0.3070402449513661 51.50164402074279),0.135722041
250,northfields,5983,51.500491670459795,-0.31506481877021597,POINT (-0.315064818770216 51.50049167045979),0.135722041
251,boston-manor,5046,51.4957655352965,-0.3247471887657881,POINT (-0.3247471887657881 51.4957655352965),0.572628364
252,osterley,4689,51.4812168100862,-0.35209609607353903,POINT (-0.352096096073539 51.4812168100862),0.222866057
253,hounslow-east,4237,51.47370789438,-0.35527532185487004,POINT (-0.35527532185487 51.47370789438),1.089225742
254,hounslow-central,3303,51.470925765892105,-0.3659581291728421,POINT (-0.3659581291728421 51.4709257658921),0.219796322
255,kensington-olympia,2648,51.497879699178704,-0.21037924233911398,POINT (-0.210379242339114 51.4978796991787),0.901713255
256,west-silvertown,1485,51.502884434803,0.0222460466499381,POINT (0.0222460466499381 51.502884434803),0.202702703
257,pontoon-dock,1322,51.5022162156561,0.0333257074807419,POINT (0.0333257074807419 51.5022162156561),0.202702703
258,london-city-airport,1242,51.5036896641552,0.0478727154448085,POINT (0.0478727154448085 51.5036896641552),0.202702703
259,king-george-v,940,51.50200860735471,0.0622062138768401,POINT (0.0622062138768401 51.50200860735471),0.202702703
260,hyde-park-corner,20676,51.502584012708205,-0.15247411397848998,POINT (-0.15247411397849 51.5025840127082),0.352640395
261,knightsbridge,20548,51.5013548976071,-0.16066448611880801,POINT (-0.160664486118808 51.5013548976071),0.254582485
262,leicester-square,26807,51.5112911816198,-0.128242147580481,POINT (-0.128242147580481 51.5112911816198),0.135722041
263,mill-hill-east,231,51.608316644628715,-0.20989571287373104,POINT (-0.209895712873731 51.60831664462872),0.234934806
264,south-wimbledon,3187,51.4153607099116,-0.19197454623853305,POINT (-0.1919745462385331 51.4153607099116),0.21896212
265,morden,2041,51.40218596161351,-0.19485198172341892,POINT (-0.1948519817234189 51.40218596161351),0.451161741
266,north-greenwich,4969,51.5002551525582,0.00358625912485761,POINT (0.00358625912485761 51.5002551525582),0.412337127
267,northolt,1757,51.548212900955,-0.368440595510011,POINT (-0.368440595510011 51.548212900955),1.046337818
268,wood-green,9226,51.597453728312104,-0.109526589468032,POINT (-0.109526589468032 51.5974537283121),0.826739105
269,bounds-green,5760,51.607031921240704,-0.124177065625754,POINT (-0.124177065625754 51.6070319212407),0.27785496
270,arnos-grove,3902,51.61623014168021,-0.134270218764562,POINT (-0.134270218764562 51.61623014168021),0.706651356
271,southgate,2697,51.63237584819041,-0.127770047251446,POINT (-0.127770047251446 51.63237584819041),0.682360969
272,oakwood,1305,51.6476379604749,-0.131853539818674,POINT (-0.131853539818674 51.6476379604749),0.682360969
273,oxford-circus,48195,51.5152234024753,-0.140836171281216,POINT (-0.140836171281216 51.5152234024753),0.370988685
274,piccadilly-circus,32665,51.5096967485824,-0.133711597193113,POINT (-0.133711597193113 51.5096967485824),0.135722041
275,upton-park,6179,51.5366282006416,0.0345418396504738,POINT (0.0345418396504738 51.5366282006416),0.328983441
276,plaistow,7190,51.53128833503511,0.0177806419767876,POINT (0.0177806419767876 51.53128833503511),0.421525924
277,parsons-green,7611,51.474960152611295,-0.20112449236141197,POINT (-0.201124492361412 51.4749601526113),0.200248308
278,putney-bridge,6354,51.4678653375334,-0.20936541684838395,POINT (-0.2093654168483839 51.4678653375334),0.0
279,russell-square,11566,51.523013038091094,-0.12459019776958,POINT (-0.12459019776958 51.52301303809109),0.138523341
280,tottenham-hale,4529,51.587997778177204,-0.0601878226919314,POINT (-0.0601878226919314 51.5879977781772),1.443963123
281,seven-sisters,6828,51.58336215999121,-0.0724668228194505,POINT (-0.07246682281945049 51.58336215999121),0.154846702
282,east-putney,5002,51.4588797835326,-0.210998234182405,POINT (-0.210998234182405 51.4588797835326),0.218531469
283,southfields,3500,51.444883313434495,-0.20660938557051506,POINT (-0.2066093855705151 51.4448833134345),0.520941863
284,st-johns-wood,2752,51.5348544108574,-0.17406484041938902,POINT (-0.174064840419389 51.5348544108574),0.360750361
285,stanmore,653,51.6196734439499,-0.303099292944956,POINT (-0.303099292944956 51.6196734439499),1.085860544
286,upminster,1048,51.5587633566288,0.251400801076897,POINT (0.251400801076897 51.5587633566288),0.941619586
